title_theme,title_index,author,theme,cycle,collection,mss,ff,page
Heroica,heroica,Flavius Philostratus,Classical Romances,Cycle of Troy,royal,16. c. xxiii.,ff. 2-69 b,1
Iliaca,iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,royal,16. c. iv. a. b.,,2
Iliaca,iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,royal,16. d. iii. a. b.,,2
Iliaca,iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,harley,harley 5662.,ff. 1-56,2
Dictys Cretensis,dictys cretensis,,Classical Romances,Cycle of Troy,harley,harley 3514,,9
Dictys Cretensis,dictys cretensis,,Classical Romances,Cycle of Troy,burney,burney 170,,9
Dictys Cretensis,dictys cretensis,,Classical Romances,Cycle of Troy,additional,"add. 15,429",,9
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,6. c. viii.,ff. 123-133 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,10. a. x.,ff. 188-192 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,13. a. v.,ff. 88 b-98 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,15. a. xxii.,ff. 73-90,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,15. b. xi.,ff. 57-66 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,caligula b. vii.,ff. 214-218 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,vitellius a. xiii.,ff. 90,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,vitellius c. viii.,ff. 5 b-6 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,vespasian b. xxv.,ff. 98 b-117,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,cleopatra b. v.,ff. 222-250,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,harley,harley 641.,ff. 1-8,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,burney,burney 216.,ff. 89-93 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,burney,burney 280.,ff. 20 b-38 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,sloane,sloane 1619,ff. 29-37 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,additional,"add. 10,094.",ff. 1-14 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,additional,"add. 15,042",,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,additional,"add. 19,709.",ff. 1-7,12
Latin Poems,,"Simon Chèvre d'Or, etc",Classical Romances,Cycle of Troy,,,,27
Roman de Troie,roman de troie,Benoît de Sainte-More,Classical Romances,Cycle of Troy,harley,harley 4482,,35
Roman de Troie,roman de troie,Benoît de Sainte-More,Classical Romances,Cycle of Troy,additional,add. 30863,,35
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,12. d. iii.,ff. 38-143,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,13. c. xii.,ff. 6-32 b,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,15. c. xvi.,ff. 86-145,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,16. f. ix.,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 51.,ff. 3-105 b,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 176,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 3637,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 3681,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 4123.,ff. 50-126,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 4387,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,lansdowne,lansdowne 229.,ff. 164,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,arundel,arundel 6,ff. 242-342 b,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,arundel,arundel 174,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,additional,add. 9785,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,additional,"add. 15,477",,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,additional,"add. 22,155",,40
Trojumanna Saga,trójumanna saga,,Classical Romances,Cycle of Troy,additional,add. 4869.,ff. 2-66,62
Rimur af Trojumonnum,,Jon Jonsson,Classical Romances,Cycle of Troy,,,,63
Recueil,,Raoul Le Fèvre,Classical Romances,Cycle of Troy,,,,64
Latin History of Troy,history of troy,,Classical Romances,Cycle of Troy,burney,burney 186.,ff. 116-128,66
Filostrato,filostrato,Boccaccio,Classical Romances,Cycle of Troy,additional,"add. 21,246",,67
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 1239.,ff. 1-62 b,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 2280,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 2392,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 3943,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 4912,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,additional,"add. 12,044",,70
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,royal,18. d. ii.,ff. 6-146,75
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,royal,18. d. vi.,,75
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,cotton,augustus a. iv.,,75
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,arundel,arundel 99,,75
Roman d'Eneas,roman d'eneas,,Classical Romances,Cycle of Troy,additional,"add. 14,100",,82
Romance of Troy,romance of troy,,Classical Romances,Cycle of Troy,harley,harley 525.,ff. 1-34 b,84
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,royal,18. d. ii.,ff. 147 b-162,87
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,cotton,cotton appendix xxvii.,"ff. 11-61; formerly ff. 106-130 b, and xxxix. ff. 80-103 b",87
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,arundel,arundel 119,,87
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,additional,"add. 18,632.",ff. 5-33,87
